"","pop","ZIP","pop_share"
"7",40017,90001,0.00140017284088761
"8",40017,90099,0.00140017284088761
"9",40017,90052,0.00140017284088761
"10",34743,90002,0.00121563847892041
"11",46544,90003,0.00162854898433848
"12",51986,90004,0.00181896157399063
"13",31246,90005,0.00109328037050189
"14",48909,90006,0.00171129903478452
"15",37438,90007,0.00130993504803334
"16",27066,90008,0.00094702446738796
"17",3597,90010,0.000125857053469094
"18",3597,90070,0.000125857053469094
"19",72194,90011,0.00252602838981033
"20",27311,90054,0.000955596882761863
"21",27311,90087,0.000955596882761863
"22",27311,90051,0.000955596882761863
"23",27311,90086,0.000955596882761863
"24",27311,90053,0.000955596882761863
"25",27311,90012,0.000955596882761863
"26",27311,90060,0.000955596882761863
"27",27311,90030,0.000955596882761863
"28",10192,90013,0.000356612479554352
"29",6549,90014,0.000229145911361995
"30",14633,90015,0.000512000629250278
"31",38009,90016,0.00132991402427211
"32",18932,90081,0.000662420276974391
"33",18932,90088,0.000662420276974391
"34",18932,90017,0.000662420276974391
"35",18932,90096,0.000662420276974391
"36",18932,90084,0.000662420276974391
"37",18932,90055,0.000662420276974391
"38",37791,90018,0.00132228632406186
"39",54872,90019,0.00191994112815016
"40",32762,90076,0.00114632437746857
"41",32762,90075,0.00114632437746857
"42",32762,90020,0.00114632437746857
"43",2594,90021,0.0000907626346118514
"44",52169,90022,0.00182536464343318
"45",33871,90023,0.00118512767807942
"46",47503,90024,0.00166210386737347
"47",40492,90025,0.00141679282987783
"48",56419,90026,0.00197406980808251
"49",40883,90027,0.00143047370502557
"50",27484,90028,0.000961650057699353
"51",27484,90072,0.000961650057699353
"52",27484,90093,0.000961650057699353
"53",27484,90078,0.000961650057699353
"54",33397,90029,0.00116854267853971
"55",30941,90031,0.00108260858809765
"56",37605,90032,0.0013157782862678
"57",36580,90033,0.00127991409949943
"58",50553,90034,0.00176882169141593
"59",26327,90035,0.000921167263464229
"60",31494,90036,0.00110195775422731
"61",45181,90082,0.00158085836329917
"62",45181,90037,0.00158085836329917
"63",23769,90038,0.000831664249070584
"64",23701,90039,0.000829284966436195
"65",10157,90091,0.000355387848786652
"66",10157,90040,0.000355387848786652
"67",24168,90041,0.000845625039822368
"68",48714,90050,0.0017044760919359
"69",48714,90042,0.0017044760919359
"70",35066,90043,0.00122694007143376
"71",64958,90044,0.0022728447259509
"72",34969,90083,0.00122354609473471
"73",34969,90045,0.00122354609473471
"74",34969,90189,0.00122354609473471
"75",34969,90080,0.00122354609473471
"76",34969,90009,0.00122354609473471
"77",47599,90046,0.00166546285462202
"78",37241,90047,0.00130304212628371
"79",20151,90048,0.00070507241714087
"80",30204,90049,0.00105682136307493
"81",7059,90056,0.000246990531119915
"82",35845,90057,0.00125419685337772
"83",1917,90058,0.0000670747766194753
"84",28935,90059,0.00101241975038316
"85",20403,90061,0.000713889758668313
"86",25206,90062,0.000881944089447311
"87",40904,90063,0.00143120848348619
"88",20964,90064,0.000733518840402025
"89",37518,90065,0.0013127342040738
"90",48461,90066,0.00169562376095795
"91",2173,90067,0.000076032075948941
"92",19897,90068,0.000696185096712416
"93",19568,90069,0.000684673567496032
"94",0,90071,0
"95",0,90074,0
"96",801,90073,0.0000280265498550859
"97",6800,90077,0.000237928263438932
"98",0,90079,0
"99",3326,90089,0.000116374912382042
"100",0,90090,0
"101",5067,90312,0.00017729154571251
"102",5067,90094,0.00017729154571251
"103",5067,90311,0.00017729154571251
"104",0,90095,0
"105",73392,90101,0.00256794575151619
"106",73392,90201,0.00256794575151619
"107",73392,90202,0.00256794575151619
"108",17943,90209,0.000627815710424229
"109",17943,90210,0.000627815710424229
"110",17943,90213,0.000627815710424229
"111",6670,90211,0.000233379634873188
"112",10495,90212,0.000367214283057587
"113",37167,90223,0.00130045290694629
"114",37167,90220,0.00130045290694629
"115",38258,90224,0.00133862639744804
"116",38258,90221,0.00133862639744804
"117",22976,90222,0.000803917614819544
"118",26885,90230,0.000940691376846424
"119",26885,90231,0.000940691376846424
"120",26885,90233,0.000940691376846424
"121",12681,90232,0.000443701221863102
"122",20590,90240,0.000720432785912883
"123",34682,90239,0.00121350412243956
"124",34682,90241,0.00121350412243956
"125",32673,90242,0.00114321031637356
"126",13469,90245,0.000471272908861614
"127",37246,90247,0.00130321707353624
"128",8388,90248,0.000293491510842024
"129",21504,90249,0.000752413143675116
"130",72714,90250,0.00254422290407331
"131",72714,90251,0.00254422290407331
"132",16531,90254,0.000578410606310144
"133",56280,90255,0.00196920627446222
"134",27168,90261,0.000950593391339544
"135",27168,90260,0.000950593391339544
"136",51506,90262,0.00180216663774789
"137",1987,90263,0.0000695240381548761
"138",14840,90265,0.000519243445504963
"139",14840,90264,0.000519243445504963
"140",27774,90267,0.000971796998346014
"141",27774,90266,0.000971796998346014
"142",19474,90270,0.000681384559148494
"143",18317,90272,0.00064090176491337
"144",20390,90274,0.000713434895811738
"145",34435,90734,0.00120486172816465
"146",34435,90275,0.00120486172816465
"147",29066,90277,0.00101700336839941
"148",32232,90278,0.00112777996870054
"149",72155,90280,0.00252466380124061
"150",5190,90290,0.000181595248124714
"151",24348,90291,0.000851923140913399
"152",24348,90294,0.000851923140913399
"153",19623,90292,0.000686597987273847
"154",19623,90295,0.000686597987273847
"155",11163,90296,0.000390587235995411
"156",11163,90293,0.000390587235995411
"157",28356,90301,0.000992160858540346
"158",28356,90306,0.000992160858540346
