ZipCode,Number,Station_ID,Distance (decimal degree),Distance (miles),Reliability Factor,CC-VMT1,Prod-VMT1,UF-VMT1,CC-VMT2,Prod-VMT2,UF-VMT2,CC-VMT3,Prod-VMT3,UF-VMT3,CC-VMT4,Prod-VMT4,UF-VMT4,CC-VMT5,Prod-VMT5,UF-VMT5,CC-VMT6,Prod-VMT6,UF-VMT6,CC-VMT7,Prod-VMT7,UF-VMT7
94560,5,61983,0.20214408,13.98250818,0.9,0.9,0.81,0.0010556,0.8,0.72,0.004425523,0.7,0.63,0.011807214,0.65,0.585,0.017351949,0.6,0.54,0.024178262,0.5,0.45,0.041177813,0.4,0.36,0.060397978
94560,6,61987,0.238192703,16.47602745,0.9,0.9,0.81,0.000200564,0.8,0.72,0.001239146,0.7,0.63,0.004368669,0.65,0.585,0.007201059,0.6,0.54,0.011122001,0.5,0.45,0.022647797,0.4,0.36,0.038654706
94560,7,62001,0.248786242,17.20879311,0.9,0.9,0.81,3.81072E-05,0.8,0.72,0.000346961,0.7,0.63,0.001616408,0.65,0.585,0.002988439,0.6,0.54,0.00511612,0.5,0.45,0.012456288,0.4,0.36,0.024739012
94560,8,62011,0.258527387,17.88259786,0.9,0.9,0.81,7.24036E-06,0.8,0.72,9.71491E-05,0.7,0.63,0.000598071,0.65,0.585,0.001240202,0.6,0.54,0.002353415,0.5,0.45,0.006850959,0.4,0.36,0.015832967
94560,9,61972,0.259863994,17.97505231,0.9,0.9,0.81,1.37567E-06,0.8,0.72,2.72017E-05,0.7,0.63,0.000221286,0.65,0.585,0.000514684,0.6,0.54,0.001082571,0.5,0.45,0.003768027,0.4,0.36,0.010133099
94560,10,62004,0.268987304,18.60612083,0.9,0.9,0.81,2.61377E-07,0.8,0.72,7.61649E-06,0.7,0.63,8.18759E-05,0.65,0.585,0.000213594,0.6,0.54,0.000497983,0.5,0.45,0.002072415,0.4,0.36,0.006485183
94587,1,61975,0.108584308,7.510885169,0.9,0.9,0.81,0.81,0.8,0.72,0.72,0.7,0.63,0.63,0.65,0.585,0.585,0.6,0.54,0.54,0.5,0.45,0.45,0.4,0.36,0.36
94587,2,62011,0.175381622,12.13132217,0.9,0.9,0.81,0.1539,0.8,0.72,0.2016,0.7,0.63,0.2331,0.65,0.585,0.242775,0.6,0.54,0.2484,0.5,0.45,0.2475,0.4,0.36,0.2304
94587,3,62013,0.203723743,14.09177503,0.9,0.9,0.81,0.029241,0.8,0.72,0.056448,0.7,0.63,0.086247,0.65,0.585,0.100751625,0.6,0.54,0.114264,0.5,0.45,0.136125,0.4,0.36,0.147456
94587,4,61950,0.217056145,15.01399058,0.9,0.9,0.81,0.00555579,0.8,0.72,0.01580544,0.7,0.63,0.03191139,0.65,0.585,0.041811924,0.6,0.54,0.05256144,0.5,0.45,0.07486875,0.4,0.36,0.09437184
94587,5,62010,0.236702646,16.37295876,0.9,0.9,0.81,0.0010556,0.8,0.72,0.004425523,0.7,0.63,0.011807214,0.65,0.585,0.017351949,0.6,0.54,0.024178262,0.5,0.45,0.041177813,0.4,0.36,0.060397978
94587,6,61983,0.240110799,16.60870405,0.9,0.9,0.81,0.000200564,0.8,0.72,0.001239146,0.7,0.63,0.004368669,0.65,0.585,0.007201059,0.6,0.54,0.011122001,0.5,0.45,0.022647797,0.4,0.36,0.038654706
94587,7,61985,0.250612718,17.33513231,0.9,0.9,0.81,3.81072E-05,0.8,0.72,0.000346961,0.7,0.63,0.001616408,0.65,0.585,0.002988439,0.6,0.54,0.00511612,0.5,0.45,0.012456288,0.4,0.36,0.024739012
94587,8,62001,0.259988814,17.98368626,0.9,0.9,0.81,7.24036E-06,0.8,0.72,9.71491E-05,0.7,0.63,0.000598071,0.65,0.585,0.001240202,0.6,0.54,0.002353415,0.5,0.45,0.006850959,0.4,0.36,0.015832967
94587,9,61987,0.319450591,22.0967168,0.9,0.9,0.81,1.37567E-06,0.8,0.72,2.72017E-05,0.7,0.63,0.000221286,0.65,0.585,0.000514684,0.6,0.54,0.001082571,0.5,0.45,0.003768027,0.4,0.36,0.010133099
94587,10,62004,0.327567799,22.65819221,0.9,0.9,0.81,2.61377E-07,0.8,0.72,7.61649E-06,0.7,0.63,8.18759E-05,0.65,0.585,0.000213594,0.6,0.54,0.000497983,0.5,0.45,0.002072415,0.4,0.36,0.006485183
94580,1,61975,0.028876755,1.997434023,0.9,0.9,0.81,0.81,0.8,0.72,0.72,0.7,0.63,0.63,0.65,0.585,0.585,0.6,0.54,0.54,0.5,0.45,0.45,0.4,0.36,0.36
94580,2,62010,0.100153657,6.927728598,0.9,0.9,0.81,0.1539,0.8,0.72,0.2016,0.7,0.63,0.2331,0.65,0.585,0.242775,0.6,0.54,0.2484,0.5,0.45,0.2475,0.4,0.36,0.2304
94580,3,62001,0.181059447,12.52406299,0.9,0.9,0.81,0.029241,0.8,0.72,0.056448,0.7,0.63,0.086247,0.65,0.585,0.100751625,0.6,0.54,0.114264,0.5,0.45,0.136125,0.4,0.36,0.147456
94580,4,62011,0.190087435,13.14853798,0.9,0.9,0.81,0.00555579,0.8,0.72,0.01580544,0.7,0.63,0.03191139,0.65,0.585,0.041811924,0.6,0.54,0.05256144,0.5,0.45,0.07486875,0.4,0.36,0.09437184
94580,5,61983,0.209780181,14.51070488,0.9,0.9,0.81,0.0010556,0.8,0.72,0.004425523,0.7,0.63,0.011807214,0.65,0.585,0.017351949,0.6,0.54,0.024178262,0.5,0.45,0.041177813,0.4,0.36,0.060397978
94580,6,48407,0.21802285,15.08085853,0.9,0.9,0.81,0.000200564,0.8,0.72,0.001239146,0.7,0.63,0.004368669,0.65,0.585,0.007201059,0.6,0.54,0.011122001,0.5,0.45,0.022647797,0.4,0.36,0.038654706
94580,7,61950,0.258159051,17.85711969,0.9,0.9,0.81,3.81072E-05,0.8,0.72,0.000346961,0.7,0.63,0.001616408,0.65,0.585,0.002988439,0.6,0.54,0.00511612,0.5,0.45,0.012456288,0.4,0.36,0.024739012
94580,8,61989,0.27390162,18.94604898,0.9,0.9,0.81,7.24036E-06,0.8,0.72,9.71491E-05,0.7,0.63,0.000598071,0.65,0.585,0.001240202,0.6,0.54,0.002353415,0.5,0.45,0.006850959,0.4,0.36,0.015832967
94580,9,62013,0.279754954,19.3509299,0.9,0.9,0.81,1.37567E-06,0.8,0.72,2.72017E-05,0.7,0.63,0.000221286,0.65,0.585,0.000514684,0.6,0.54,0.001082571,0.5,0.45,0.003768027,0.4,0.36,0.010133099
94580,10,62004,0.318514003,22.03193208,0.9,0.9,0.81,2.61377E-07,0.8,0.72,7.61649E-06,0.7,0.63,8.18759E-05,0.65,0.585,0.000213594,0.6,0.54,0.000497983,0.5,0.45,0.002072415,0.4,0.36,0.006485183
94514,1,62011,0.349143475,24.1506033,0.9,0.9,0.81,0.81,0.8,0.72,0.72,0.7,0.63,0.63,0.65,0.585,0.585,0.6,0.54,0.54,0.5,0.45,0.45,0.4,0.36,0.36
94514,2,61975,0.508283255,35.15846106,0.9,0.9,0.81,0.1539,0.8,0.72,0.2016,0.7,0.63,0.2331,0.65,0.585,0.242775,0.6,0.54,0.2484,0.5,0.45,0.2475,0.4,0.36,0.2304
94514,3,61985,0.539981022,37.35102728,0.9,0.9,0.81,0.029241,0.8,0.72,0.056448,0.7,0.63,0.086247,0.65,0.585,0.100751625,0.6,0.54,0.114264,0.5,0.45,0.136125,0.4,0.36,0.147456
94514,4,62010,0.598081792,41.36991565,0.9,0.9,0.81,0.00555579,0.8,0.72,0.01580544,0.7,0.63,0.03191139,0.65,0.585,0.041811924,0.6,0.54,0.05256144,0.5,0.45,0.07486875,0.4,0.36,0.09437184
94514,5,62013,0.610840301,42.25243449,0.9,0.9,0.81,0.0010556,0.8,0.72,0.004425523,0.7,0.63,0.011807214,0.65,0.585,0.017351949,0.6,0.54,0.024178262,0.5,0.45,0.041177813,0.4,0.36,0.060397978
94514,6,61972,0.644918133,44.6096322,0.9,0.9,0.81,0.000200564,0.8,0.72,0.001239146,0.7,0.63,0.004368669,0.65,0.585,0.007201059,0.6,0.54,0.011122001,0.5,0.45,0.022647797,0.4,0.36,0.038654706
94514,7,61950,0.65193667,45.09511142,0.9,0.9,0.81,3.81072E-05,0.8,0.72,0.000346961,0.7,0.63,0.001616408,0.65,0.585,0.002988439,0.6,0.54,0.00511612,0.5,0.45,0.012456288,0.4,0.36,0.024739012
94514,8,61987,0.658774568,45.56809561,0.9,0.9,0.81,7.24036E-06,0.8,0.72,9.71491E-05,0.7,0.63,0.000598071,0.65,0.585,0.001240202,0.6,0.54,0.002353415,0.5,0.45,0.006850959,0.4,0.36,0.015832967
94514,9,48407,0.660131918,45.66198488,0.9,0.9,0.81,1.37567E-06,0.8,0.72,2.72017E-05,0.7,0.63,0.000221286,0.65,0.585,0.000514684,0.6,0.54,0.001082571,0.5,0.45,0.003768027,0.4,0.36,0.010133099
94514,10,61983,0.693299878,47.95624589,0.9,0.9,0.81,2.61377E-07,0.8,0.72,7.61649E-06,0.7,0.63,8.18759E-05,0.65,0.585,0.000213594,0.6,0.54,0.000497983,0.5,0.45,0.002072415,0.4,0.36,0.006485183
94703,1,48407,0.029917648,2.069433602,0.9,0.9,0.81,0.81,0.8,0.72,0.72,0.7,0.63,0.63,0.65,0.585,0.585,0.6,0.54,0.54,0.5,0.45,0.45,0.4,0.36,0.36
94703,2,62010,0.142093208,9.828729303,0.9,0.9,0.81,0.1539,0.8,0.72,0.2016,0.7,0.63,0.2331,0.65,0.585,0.242775,0.6,0.54,0.2484,0.5,0.45,0.2475,0.4,0.36,0.2304
94703,3,61982,0.242150152,16.74976819,0.9,0.9,0.81,0.029241,0.8,0.72,0.056448,0.7,0.63,0.086247,0.65,0.585,0.100751625,0.6,0.54,0.114264,0.5,0.45,0.136125,0.4,0.36,0.147456
94703,4,61989,0.252291331,17.45124365,0.9,0.9,0.81,0.00555579,0.8,0.72,0.01580544,0.7,0.63,0.03191139,0.65,0.585,0.041811924,0.6,0.54,0.05256144,0.5,0.45,0.07486875,0.4,0.36,0.09437184
94703,5,61975,0.259644715,17.95988457,0.9,0.9,0.81,0.0010556,0.8,0.72,0.004425523,0.7,0.63,0.011807214,0.65,0.585,0.017351949,0.6,0.54,0.024178262,0.5,0.45,0.041177813,0.4,0.36,0.060397978
94703,6,62001,0.299065313,20.68664679,0.9,0.9,0.81,0.000200564,0.8,0.72,0.001239146,0.7,0.63,0.004368669,0.65,0.585,0.007201059,0.6,0.54,0.011122001,0.5,0.45,0.022647797,0.4,0.36,0.038654706
94703,7,62011,0.320778144,22.188545,0.9,0.9,0.81,3.81072E-05,0.8,0.72,0.000346961,0.7,0.63,0.001616408,0.65,0.585,0.002988439,0.6,0.54,0.00511612,0.5,0.45,0.012456288,0.4,0.36,0.024739012
94703,8,61983,0.375398467,25.96668734,0.9,0.9,0.81,7.24036E-06,0.8,0.72,9.71491E-05,0.7,0.63,0.000598071,0.65,0.585,0.001240202,0.6,0.54,0.002353415,0.5,0.45,0.006850959,0.4,0.36,0.015832967
94703,9,61950,0.467343713,32.32663201,0.9,0.9,0.81,1.37567E-06,0.8,0.72,2.72017E-05,0.7,0.63,0.000221286,0.65,0.585,0.000514684,0.6,0.54,0.001082571,0.5,0.45,0.003768027,0.4,0.36,0.010133099
94703,10,62004,0.47754365,33.03217184,0.9,0.9,0.81,2.61377E-07,0.8,0.72,7.61649E-06,0.7,0.63,8.18759E-05,0.65,0.585,0.000213594,0.6,0.54,0.000497983,0.5,0.45,0.002072415,0.4,0.36,0.006485183
95601,1,64018,0.710990759,49.17994179,0.9,0.9,0.81,0.81,0.8,0.72,0.72,0.7,0.63,0.63,0.65,0.585,0.585,0.6,0.54,0.54,0.5,0.45,0.45,0.4,0.36,0.36
95601,2,61990,1.081641728,74.81823998,0.9,0.9,0.81,0.1539,0.8,0.72,0.2016,0.7,0.63,0.2331,0.65,0.585,0.242775,0.6,0.54,0.2484,0.5,0.45,0.2475,0.4,0.36,0.2304
95601,3,62011,1.317642503,91.14264958,0.9,0.9,0.81,0.029241,0.8,0.72,0.056448,0.7,0.63,0.086247,0.65,0.585,0.100751625,0.6,0.54,0.114264,0.5,0.45,0.136125,0.4,0.36,0.147456
95601,4,61975,1.489422287,103.024829,0.9,0.9,0.81,0.00555579,0.8,0.72,0.01580544,0.7,0.63,0.03191139,0.65,0.585,0.041811924,0.6,0.54,0.05256144,0.5,0.45,0.07486875,0.4,0.36,0.09437184
95601,5,61985,1.518008684,105.0021787,0.9,0.9,0.81,0.0010556,0.8,0.72,0.004425523,0.7,0.63,0.011807214,0.65,0.585,0.017351949,0.6,0.54,0.024178262,0.5,0.45,0.041177813,0.4,0.36,0.060397978
95601,6,62010,1.551912071,107.3473098,0.9,0.9,0.81,0.000200564,0.8,0.72,0.001239146,0.7,0.63,0.004368669,0.65,0.585,0.007201059,0.6,0.54,0.011122001,0.5,0.45,0.022647797,0.4,0.36,0.038654706
95601,7,48407,1.573752345,108.8580234,0.9,0.9,0.81,3.81072E-05,0.8,0.72,0.000346961,0.7,0.63,0.001616408,0.65,0.585,0.002988439,0.6,0.54,0.00511612,0.5,0.45,0.012456288,0.4,0.36,0.024739012
95601,8,62013,1.607535653,111.1948487,0.9,0.9,0.81,7.24036E-06,0.8,0.72,9.71491E-05,0.7,0.63,0.000598071,0.65,0.585,0.001240202,0.6,0.54,0.002353415,0.5,0.45,0.006850959,0.4,0.36,0.015832967
95601,9,61972,1.614817124,111.6985153,0.9,0.9,0.81,1.37567E-06,0.8,0.72,2.72017E-05,0.7,0.63,0.000221286,0.65,0.585,0.000514684,0.6,0.54,0.001082571,0.5,0.45,0.003768027,0.4,0.36,0.010133099
95601,10,61987,1.637745458,113.2844911,0.9,0.9,0.81,2.61377E-07,0.8,0.72,7.61649E-06,0.7,0.63,8.18759E-05,0.65,0.585,0.000213594,0.6,0.54,0.000497983,0.5,0.45,0.002072415,0.4,0.36,0.006485183
95669,1,64018,0.629133639,43.51780294,0.9,0.9,0.81,0.81,0.8,0.72,0.72,0.7,0.63,0.63,0.65,0.585,0.585,0.6,0.54,0.54,0.5,0.45,0.45,0.4,0.36,0.36
95669,2,61990,1.079586293,74.67606349,0.9,0.9,0.81,0.1539,0.8,0.72,0.2016,0.7,0.63,0.2331,0.65,0.585,0.242775,0.6,0.54,0.2484,0.5,0.45,0.2475,0.4,0.36,0.2304
95669,3,62011,1.284816493,88.87204162,0.9,0.9,0.81,0.029241,0.8,0.72,0.056448,0.7,0.63,0.086247,0.65,0.585,0.100751625,0.6,0.54,0.114264,0.5,0.45,0.136125,0.4,0.36,0.147456
95669,4,61975,1.457553147,100.8204087,0.9,0.9,0.81,0.00555579,0.8,0.72,0.01580544,0.7,0.63,0.03191139,0.65,0.585,0.041811924,0.6,0.54,0.05256144,0.5,0.45,0.07486875,0.4,0.36,0.09437184
95669,5,61985,1.506982701,104.2395004,0.9,0.9,0.81,0.0010556,0.8,0.72,0.004425523,0.7,0.63,0.011807214,0.65,0.585,0.017351949,0.6,0.54,0.024178262,0.5,0.45,0.041177813,0.4,0.36,0.060397978
95669,6,62010,1.513575324,104.6955187,0.9,0.9,0.81,0.000200564,0.8,0.72,0.001239146,0.7,0.63,0.004368669,0.65,0.585,0.007201059,0.6,0.54,0.011122001,0.5,0.45,0.022647797,0.4,0.36,0.038654706
95669,7,48407,1.529011794,105.7632748,0.9,0.9,0.81,3.81072E-05,0.8,0.72,0.000346961,0.7,0.63,0.001616408,0.65,0.585,0.002988439,0.6,0.54,0.00511612,0.5,0.45,0.012456288,0.4,0.36,0.024739012
95669,8,62013,1.58918032,109.9251919,0.9,0.9,0.81,7.24036E-06,0.8,0.72,9.71491E-05,0.7,0.63,0.000598071,0.65,0.585,0.001240202,0.6,0.54,0.002353415,0.5,0.45,0.006850959,0.4,0.36,0.015832967
95669,9,61972,1.606370216,111.1142342,0.9,0.9,0.81,1.37567E-06,0.8,0.72,2.72017E-05,0.7,0.63,0.000221286,0.65,0.585,0.000514684,0.6,0.54,0.001082571,0.5,0.45,0.003768027,0.4,0.36,0.010133099
